,answer,bet365,skybet,WilliamHill,888sport,betfair,betvictor,paddypower,unibet,betfred,betway,10bet,BoyleSports,vbet,novibet,sportingbet,gentingbet,SportPesa,sportnation,spreadex,divider,betfairexchange,smarketsstate,smarkets,state
0,1/8,1/7,1/14,1/7,,1/7,1/14,1/10,1/12,,,,,1/7,,,,,,1/7,1/9,,,Democrats,Alaska
1,13/2,9/2,4,5,4,,4,5,11/2,11/2,,,,,4,,,,,,6,26/5,,,Alaska
0,1/33,1/50,1/100,1/100,,1/100,1/100,1/100,1/100,,,,,1/33,,,,,,1/33,1/50,,,Democratic,Alabama
1,16,10,12,10,12,,12,10,16,10,,,,,10,,,,,,68/5,61/5,,,Alabama
0,1/16,1/14,1/50,1/16,,1/16,1/50,1/20,1/33,,,,,1/16,,,,,,1/16,,,,Democrats,Arkansas
1,6,7,13/2,9,13/2,,13/2,9,8,8,,,,,7,,,,,,31/5,,,,Arkansas
0,8/15,8/15,11/20,4/6,,4/6,11/20,8/13,4/7,,,,,6/11,,,,,,4/6,8/15,,,Republicans,Arizona
1,6/5,11/8,11/8,13/10,11/10,,11/10,13/10,6/5,5/4,,,,,27/20,,,,,,5/4,23/20,,,Arizona
0,1/100,1/100,1/100,1/200,,1/200,1/100,1/200,1/100,,,,,1/100,,,,,,1/100,,,,Republicans,California
1,16,12,16,14,14,,14,14,20,14,,,,,16,,,,,,38,,,,California
0,1/9,1/10,1/14,1/8,,1/8,1/14,1/8,1/20,,,,,1/10,,,,,,2/15,1/16,,,Republicans,Colorado
1,11/2,5,11/2,11/2,9/2,,9/2,11/2,9/2,7,,,,,11/2,,,,,,6,5,,,Colorado
0,,1/25,1/50,1/66,,1/66,1/50,1/33,1/50,,,,,1/20,,,,,,1/50,,,,Republicans,Connecticut
1,12,,9,8,9,,9,8,10,9,,,,,8,,,,,,49/5,59/5,,,Connecticut
0,1/33,1/50,1/100,1/200,,1/200,1/100,1/33,1/50,,,,,1/33,,,,,,1/50,,,,Republicans,Delaware
1,12,10,12,10,11,,11,10,10,9,,,,,10,,,,,,54/5,,,,Delaware
0,4/7,8/15,1/2,1/2,,1/2,1/2,4/7,3/5,,,,,6/11,,,,,,4/6,8/15,,,Republicans,Florida
1,5/4,5/4,11/8,7/5,6/4,,6/4,7/5,5/4,6/5,,,,,5/4,,,,,,20/21,23/20,,,Florida
0,4/7,4/6,13/20,4/9,,4/9,13/20,4/7,8/13,,,,,11/17,,,,,,4/7,8/13,,,Democratic,Georgia
1,6/5,5/4,11/10,11/10,13/8,,13/8,11/10,5/4,6/5,,,,,11/10,,,,,,6/4,1,,,Georgia
0,,1/200,1/100,1/100,,1/100,1/100,1/100,,,,,,1/100,,,,,,1/100,,,,Republicans,Hawaii
1,16,,20,14,10,,10,14,16,,,,,,16,,,,,,51/5,,,,Hawaii
0,4/7,8/13,13/20,2/5,,2/5,13/20,1/2,8/15,,,,,4/7,,,,,,4/11,1/2,,,Democratic,Iowa
1,6/4,5/4,6/5,11/10,7/4,,7/4,11/10,6/4,7/5,,,,,5/4,,,,,,17/10,6/5,,,Iowa
0,,1/50,1/100,1/200,,1/200,1/100,1/100,,,,,,1/33,,,,,,1/100,,,,Democrats,Idaho
1,16,,12,12,11,,11,12,16,,,,,,10,,,,,,54/5,,,,Idaho
0,,1/50,1/100,1/200,,1/200,1/100,1/100,1/50,,,,,1/25,,,,,,1/50,,,,Republicans,Illinois
1,16,,12,14,11,,11,14,16,9,,,,,8,,,,,,59/5,,,,Illinois
0,,1/8,1/20,1/25,,1/25,1/20,1/12,1/10,,,,,1/8,,,,,,1/25,,,,Democrats,Indiana
1,13/2,,9/2,13/2,15/2,,15/2,13/2,6,5,,,,,9/2,,,,,,36/5,,,,Indiana
0,,1/16,1/50,1/100,,1/100,1/50,1/50,,,,,,1/16,,,,,,1/14,,,,Democrats,Kansas
1,10,,7,9,10,,10,9,12,,,,,,7,,,,,,44/5,,,,Kansas
0,,1/50,1/50,1/200,,1/200,1/50,1/100,,,,,,1/25,,,,,,1/50,,,,Democrats,Kentucky
1,12,,12,9,14,,14,9,16,,,,,,9,,,,,,25,,,,Kentucky
0,,1/25,1/100,1/200,,1/200,1/100,1/100,,,,,,1/16,,,,,,1/25,,,,Democrats,Louisiana
1,11,,9,10,14,,14,10,16,,,,,,7,,,,,,42/5,,,,Louisiana
0,,1/50,1/50,1/100,,1/100,1/50,1/100,,,,,,1/41,,,,,,1/100,,,,Republicans,Massachusetts
1,16,,12,8,11,,11,8,16,,,,,,12,,,,,,73/5,,,,Massachusetts
0,,1/66,1/100,1/100,,1/100,1/100,1/50,,,,,,1/41,,,,,,1/100,,,,Republicans,Maryland
1,16,,14,10,10,,10,10,12,,,,,,12,,,,,,68/5,,,,Maryland
0,,1/7,2/15,1/7,,1/7,2/15,1/6,1/6,,,,,2/13,,,,,,1/6,1/12,,,Republicans,Maine
1,5,,4,4,4,,4,4,7/2,4,,,,,4,,,,,,24/5,23/5,,,Maine
0,2/9,2/9,11/50,1/5,,1/5,11/50,1/4,1/4,,,,,1/4,,,,,,3/10,1/6,,,Republicans,Michigan
1,9/4,3,3,11/4,3,,3,11/4,11/4,5/2,,,,,11/4,,,,,,5/2,3,,,Michigan
0,1/5,1/6,1/6,2/7,,2/7,1/6,1/6,,,,,,2/9,,,,,,2/7,1/5,,,Republicans,Minnesota
1,11/4,10/3,7/2,13/4,9/4,,9/4,13/4,7/2,,,,,,3,,,,,,5/2,13/5,,,Minnesota
0,,1/8,1/50,1/66,,1/66,1/50,1/10,,,,,,1/7,,,,,,2/13,,,,Democrats,Missouri
1,13/2,,9/2,8,9,,9,8,6,,,,,,4,,,,,,31/5,,,,Missouri
0,,1/50,1/100,1/50,,1/50,1/100,1/33,1/66,,,,,1/25,,,,,,1/33,,,,Democrats,Mississippi
1,10,,12,10,9,,9,10,10,16,,,,,9,,,,,,36/5,,,,Mississippi
0,,1/8,1/100,1/100,,1/100,1/100,1/20,1/20,,,,,1/7,,,,,,1/10,,,,Democrats,Montana
1,7/2,,9/2,9,10,,10,9,8,7,,,,,4,,,,,,27/5,,,,Montana
0,4/5,8/11,13/20,8/11,,8/11,13/20,5/6,3/4,,,,,7/10,,,,,,5/6,4/6,,,Republicans,North-Carolina
1,1,10/11,1,11/10,1,,1,11/10,5/6,20/21,,,,,1,,,,,,1,21/20,,,North-Carolina
0,,1/66,1/100,1/300,,1/300,1/100,1/100,,,,,,1/33,,,,,,1/50,,,,Democrats,North-Dakota
1,14,,14,12,12,,12,12,16,,,,,,10,,,,,,25,,,,North-Dakota
0,,1/50,1/100,1/100,,1/100,1/100,1/33,,,,,,1/33,,,,,,1/50,,,,Democrats,Nebraska-Statewide
1,10,,12,10,10,,10,10,10,,,,,,10,,,,,,49/5,,,,Nebraska-Statewide
0,,1/200,,,,,,1/200,,,,,,,,,,,,,,,,Republicans,Washington-Dc
1,,,20,,,,,,20,,,,,,,,,,,,,,,,Washington-Dc
0,1/3,2/9,33/ 100,1/3,,1/3,33/ 100,1/3,1/3,,,,,3/10,,,,,,1/3,1/4,,,Republicans,New-Hampshire
1,9/4,9/4,3,2,2,,2,2,9/4,21/10,,,,,5/2,,,,,,11/5,23/10,,,New-Hampshire
