,Market_ID,Market_Name,Contract_ID,Contract_Name,PredictIt_Yes,bestBuyNoCost,BestSellYesCost,BestSellNoCost,state,answer,skybet,betfair,paddypower,betfairexchange,smarkets,numerator,denominator,skybet_imp_prob,betfair_imp_prob,paddypower_imp_prob,betfairexchange_imp_prob,smarkets_imp_prob,question_id,poll_id,cycle,pollster,office_type,538_poll_date,election_date,created_at,stage,race_id,candidate_id,candidate_name_x,candidate_party,538_latest_poll,Count,modeldate,candidate_name_y,pct_estimate,pct_trend_adjusted,538_model,voteshare,voteshare_hi,voteshare_lo,win_EC_if_win_state,win_state_if_win_EC,Econ_model,Econ_date,ari_mean_imp_prob,PredictIt_Oppo_No,ari_mean_imp_prob-PredictIt_Yes,538-PredictIt_Yes,538-ari_mean_imp_prob,538-Econ
17,6591,Which party will win Alaska in the 2020 presidential election?,22094,Democratic,0.04,0.97,0.03,0.96,Alaska,Biden,,,,26,26,26.0,1.0,,,,0.04,0.04,135418,72193,2020,Gravis Marketing,U.S. President,10/28/20,11/3/20,2020-10-29 09:00:00,general,6211,13256,Joseph R. Biden Jr.,DEM,43.0,2,,,,,0.20045,44.473659999999995,51.319959999999995,37.68246,0.9644549000000001,0.2607127,0.050925,2020-11-03,0.04,0.04,0.0,0.16,0.16,0.15
16,6591,Which party will win Alaska in the 2020 presidential election?,22093,Republican,0.97,0.04,0.96,0.03,Alaska,Trump,,,,1/50,1/50,1.0,50.0,,,,0.98,0.98,135418,72193,2020,Gravis Marketing,U.S. President,10/28/20,11/3/20,2020-10-29 09:00:00,general,6211,13254,Donald Trump,REP,52.0,2,,,,,0.79955,53.23496,60.056619999999995,46.412440000000004,0.3084548,0.9724002,0.949075,2020-11-03,0.98,0.97,0.01,-0.17,-0.18,-0.15
8,5596,Which party will win Arizona in the 2020 presidential election?,16000,Democratic,0.88,0.14,0.86,0.12,Arizona,Biden,1/9,1/18,1/18,2/15,1/8,1.0,8.0,0.9,0.95,0.95,0.88,0.89,136546,72764,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:12:00,general,6214,13256,Joseph R. Biden Jr.,DEM,50.6,2,,,,,0.6449,50.84793,56.32649,45.32137,0.9328966000000001,0.8113347,0.7315125,2020-11-03,0.91,0.86,0.03,-0.24,-0.27,-0.09
9,5596,Which party will win Arizona in the 2020 presidential election?,15999,Republican,0.16,0.86,0.14,0.84,Arizona,Trump,5,13/2,13/2,29/5,29/5,29.0,5.0,0.17,0.13,0.13,0.15,0.15,136546,72764,2020,Swayable,U.S. President,11/1/20,11/3/20,2020-11-02 22:12:00,general,6214,13254,Donald Trump,REP,45.7,2,,,,,0.3551,47.77705,53.30115,42.309329999999996,0.6010983,0.8415968,0.2684875,2020-11-03,0.15,0.14,-0.01,0.2,0.21,0.09
5,5544,Which party will win Florida in the 2020 presidential election?,15707,Democratic,0.01,0.0,0.0,0.99,Florida,Biden,,,,,,,,,,,,,136593,72795,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6220,13256,Joseph R. Biden Jr.,DEM,47.2,2,,,,,0.603175,50.55055,55.458690000000004,45.63984,0.982675,0.7993324,0.799775,2020-11-03,,0.01,,0.59,,-0.2
4,5544,Which party will win Florida in the 2020 presidential election?,15706,Republican,0.0,0.01,0.99,0.0,Florida,Trump,,,,,,,,,,,,,136593,72795,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:46:00,general,6220,13254,Donald Trump,REP,50.1,2,,,,,0.396825,48.64365,53.55636,43.73392,0.6136206,0.9600788,0.200225,2020-11-03,,0.0,,0.4,,0.2
14,5604,Which party will win Georgia in the 2020 presidential election?,16016,Democratic,0.9,0.11,0.89,0.1,Georgia,Biden,1/12,1/16,1/16,1/12,1/12,1.0,12.0,0.92,0.94,0.94,0.92,0.92,136596,72798,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6221,13256,Joseph R. Biden Jr.,DEM,46.9,2,,,,,0.322575,48.057190000000006,52.46677,43.68352,0.9899247999999999,0.4306327999999999,0.5829875,2020-11-03,0.93,0.9,0.03,-0.58,-0.61,-0.26
15,5604,Which party will win Georgia in the 2020 presidential election?,16015,Republican,0.12,0.9,0.1,0.88,Georgia,Trump,6,13/2,13/2,46/5,43/5,43.0,5.0,0.14,0.13,0.13,0.1,0.1,136596,72798,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6221,13254,Donald Trump,REP,49.4,2,,,,,0.677425,51.09085,55.47226,46.708059999999996,0.3699302,0.9880728999999999,0.4170125,2020-11-03,0.12,0.11,0.0,0.56,0.56,0.26
6,5545,Which party will win Michigan in the 2020 presidential election?,15709,Democratic,0.93,0.08,0.92,0.07,Michigan,Biden,,,,,,,,,,,,,136598,72800,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6233,13256,Joseph R. Biden Jr.,DEM,48.4,2,,,,,0.84965,53.245909999999995,57.998219999999996,48.495059999999995,0.8650621,0.9912006,0.9837875,2020-11-03,,0.91,,-0.08,,-0.13
7,5545,Which party will win Michigan in the 2020 presidential election?,15708,Republican,0.1,0.91,0.09,0.9,Michigan,Trump,,,,,,,,,,,,,136598,72800,2020,Wick,U.S. President,10/25/20,11/3/20,2020-11-02 22:47:00,general,6233,13254,Donald Trump,REP,48.1,2,,,,,0.15035,45.59146,50.35682,40.84418,0.9549385,0.5660917,0.016212499999999963,2020-11-03,,0.08,,0.05,,0.13
